"lang"
{
	"Language"		"English"
    "Tokens"
	{


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\!empty.txt' begin

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\!empty.txt' end

"random_button"											"Random hero"
"hero_tab_default"										"Heroes"
"hero_tab_custom"										"Custom Heroes"
"pick_chose_hero"										"Choose Hero"
"pick_ban_hero"											"Ban Hero"
"pick_ban_phase"										"Ban Phase"

"npc_aa_scaling_bear"									"Scaling Bear"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\common_modifiers.txt' begin 
"DOTA_Tooltip_modifier_damage_to_exp_cd"				"Experience Cooldown"
"DOTA_Tooltip_modifier_damage_to_exp_cd_Description"	"Spells that grants additional experience for dealded damage do not work on this unit."
	"DOTA_Tooltip_modifier_ba_champion"					"Champion"
	"DOTA_Tooltip_modifier_ba_champion_Description"		"Elite creep. Enhanced stats, damage reduction, visible through fog of war. Grants your team an upgrade on kill!"
	"DOTA_Tooltip_modifier_override_magic_resist"		"Arcane Immunity"
	"DOTA_Tooltip_modifier_override_magic_resist_Description"	"Magic resistance is no longer granted by intelligence."
	"DOTA_Tooltip_modifier_spell_amp_from_int"			"Intellect Mastery"
	"DOTA_Tooltip_modifier_spell_amp_from_int_Description"	"Current amplification: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%.<br>1%% spell amplification per 24 intelligence. Magical resistance from intelligence is disabled."
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\common_modifiers.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\main_gamemode.txt' begin 
"aa_beta_title1"										"Angel Arena"
"aa_beta_fun"											"Fun"
"aa_beta_title2"										"Reborn"
"aa_beta_subtitle"										"Beta Version"
"aa_beta_text1"											"This project is still in active development and may contain bugs, errors, or incomplete features."
"aa_beta_text2"											"If you encounter any issues, please report them so we can improve the experience."
"aa_beta_thanks"										"Thank you for your support and understanding!"
"aa_beta_continue"										"Continue"

"aa_on_win_message" 									"VICTORY. FOR THE BLESS OF GODS"
"increaseon_game_name"									"Angel Arena Fun Reborn"
"addon_game_name"										"Angel Arena Fun Reborn"
"addon_name_t"											"Angel Arena"
"DOTA_GAMEMODE_15"										"Angel Arena"
"DOTA_GoodGuys"											"Angels"
"DOTA_BadGuys"											"Demons"
"ANGEL_ARENA_ON_KILL"									"%s1 get <font color='#FFFF00'>%s2</font> bounty gold for kill!"
"ANGEL_ARENA_ON_ASSIST"									"%s1 get <font color='#FFFF00'>%s2</font> bounty gold for assist!"

"game_ends_on_time"										"Game ends at {s:time}"

"duel_nobody_wins" 										"Duel ends in {s:time}"
"duel_next_duel" 										"Next duel in {s:time}"
"duel_start"											"Duel begins!"
"duel_end"												"Duel has ended."
"duel_error"											"<font color='#FF1111'>[DUEL]</font> Not enough players."
"duel_nobody" 											"<font color='#FF1111'>[DUEL]</font> Time over! DRAW! Nobody won."
"duel_end_win_radiant"									"The angels triumph over the demons"
"duel_end_win_demons"									"The demons triumph over the angels"

"game_ends_on_30_sec"									"Game ends in 30sec.!"

"DOTA_Tooltip_modifier_tester"							"Aplha Tester"
"DOTA_Tooltip_modifier_tester_Description"				"Thanks for alpha testing!"

"DOTA_Tooltip_modifier_dcp_tester"						"DCP TESTER"
"DOTA_Tooltip_modifier_dcp_tester_Description"			"Alfach Tester"

"dota_hud_error_cast_only_hero_and_creeps"				"Item can't be used on non-hero and non-creeps"

"DOTA_Tooltip_modifier_banned_custom"					"Banned"
"DOTA_Tooltip_modifier_banned_custom_Description"		"That user is banned and can't play anymore."

"angel_arena_kill_limit_click"							"We need to do %s kills for the victory, but enemy needs %s kills for the victory!"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\main_gamemode.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\abyss_warrior.txt' begin 
"npc_aa_abyss_warrior"													"Abyss Warrior"

"on_boss_die_abyss_warrior"												"Someone kill the <font color='#58ACFA'>Abyss Warrior</font>!"

"DOTA_Tooltip_ability_abyss_warrior_death_link"							"Death Link"
"DOTA_Tooltip_ability_abyss_warrior_death_link_Description"				"Link target and another near target with connection that share incoming damage."
"DOTA_Tooltip_ability_abyss_warrior_death_link_link_radius"				"LINK RADIUS:"
"DOTA_Tooltip_ability_abyss_warrior_death_link_link_duration"			"DURATION:"
"DOTA_Tooltip_ability_abyss_warrior_death_link_damage_pct"				"%DAMAGE SHARE:"

"DOTA_Tooltip_modifier_abyss_warrior_death_link"						"Death link"
"DOTA_Tooltip_modifier_abyss_warrior_death_link_Description"			"Damage is shared."

"DOTA_Tooltip_ability_abyss_warrior_domination"							"Domnation"
"DOTA_Tooltip_ability_abyss_warrior_domination_Description"				"Pull unit target and kill if unit health is less than threshold and applies silence and disarm otherwise. Притягивает к себе цель, и если ее здоровье меньше порога - убивает ее. В случае если цель останется в живых, на нее наложится безмолвие и обезоруживание."
"DOTA_Tooltip_ability_abyss_warrior_domination_pull_speed"				"PULL SPEED:"
"DOTA_Tooltip_ability_abyss_warrior_domination_kill_limit_pct"			"%KILL THRESHOLD:"
"DOTA_Tooltip_ability_abyss_warrior_domination_disable_duration" 		"DEBUFF DURATION:"

"DOTA_Tooltip_modifier_abyss_warrior_domination"						"Domnation pull"
"DOTA_Tooltip_modifier_abyss_warrior_domination_debuff"					"Domnation debuff"

"DOTA_Tooltip_ability_abyss_warrior_charged_attack"						"Charged Attack"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_Description"			"Every few seconds Abyss Warrior charges him attack that deal additional damage and stun any nearby unit around target. For every stunned unit Abyss Warrior gets one spell block effect."
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_damage"				"ADDITIONAL DAMAGE::"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_stun_duration"		"STUN DURATION:"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_radius"				"STUN AOE:"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_spellblock_duration" "SPELLBLOCK DURATION:"
"DOTA_Tooltip_modifier_abyss_warrior_charged_attack_stun"				"Charged Attack Stun"
"DOTA_Tooltip_modifier_abyss_warrior_charged_attack_linken"				"Charged Attack Spellblock"

"DOTA_Tooltip_ability_abyss_warrior_fallen_hero"						"Fallen Hero"
"DOTA_Tooltip_ability_abyss_warrior_fallen_hero_Description"			"Purges all debufs from Abyss Warrior every few seconds."

"DOTA_Tooltip_ability_abyss_warrior_immortal"							"Immortal"
"DOTA_Tooltip_ability_abyss_warrior_immortal_Description"				"For every lost %hp_loss_pct%%  health Abyss Warrior gets additional attack speed and health regeneration."
"DOTA_Tooltip_ability_abyss_warrior_immortal_attack_speed"				"BONUS ATTACK SPEED::"
"DOTA_Tooltip_ability_abyss_warrior_immortal_hp_reg"					"%BONUS HEALTH REGEN:"

"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge"					"Ethernal Charge"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_Description"		"On activation Abyss Warrior starts abosrb all incoming damage and fast regenerate. At duration end Abyss Warrior heal himself for all taken damage and applies microstun for every around unit."
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_hp_regen_pct"		"%HEALTH REGEN:"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_active_duration"	"EFFECT DURATION:"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_stun_aoe"			"STUN AOE:"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_stun_duration"		"STUN DURATION:"
"DOTA_Tooltip_modifier_abyss_warrior_ethereal_charge"					"Ethernal Charge"
"DOTA_Tooltip_modifier_abyss_warrior_ethereal_charge_stun"				"Ethernal Charge Stun"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\abyss_warrior.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\keymasters.txt' begin 
"npc_aa_keymaster_radiant"											"Keymaster"
"npc_aa_keymaster_dire"												"Keymaster"
"on_boss_die_keymaster"												"Someone kill the <font color='#58ACFA'>Keymaster</font>!"

"DOTA_Tooltip_Ability_keymaster_howl"								"Master Howl"
"DOTA_Tooltip_Ability_keymaster_howl_Description"					"Stuns and silences around enemies."
