"lang"
{
	"Language"		"Russian"
	"Tokens"
	{
		

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\!empty.txt' end

"random_button"											"Случайный герой"
"hero_tab_default"										"Герои"
"hero_tab_custom"										"Кастомные герои"
"pick_chose_hero"										"Выбрать героя"
"pick_ban_hero"											"Забанить героя"
"pick_ban_phase"										"Фаза бана"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\common_modifiers.txt' begin 
"DOTA_Tooltip_modifier_damage_to_exp_cd"				"Experience Cooldown"
"DOTA_Tooltip_modifier_damage_to_exp_cd_Description"	"На владельца не действуют способности дающие дополнительный опыт при нанесении урона."
	"DOTA_Tooltip_modifier_ba_champion"					"Чемпион"
	"DOTA_Tooltip_modifier_ba_champion_Description"		"Элитный крип. Усиленные характеристики, устойчивость к урону, виден сквозь туман войны. При убийстве выдаёт команде улучшение!"
	"DOTA_Tooltip_modifier_override_magic_resist"		"Магическая невосприимчивость"
	"DOTA_Tooltip_modifier_override_magic_resist_Description"	"Сопротивление магии больше не даётся за интеллект."
	"DOTA_Tooltip_modifier_spell_amp_from_int"			"Сила интеллекта"
	"DOTA_Tooltip_modifier_spell_amp_from_int_Description"	"Текущее усиление: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%.<br>1%% усиления способностей за 24 интеллекта. Сопротивление магии за интеллект отключено."
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\common_modifiers.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\main_gamemode.txt' begin 
"aa_beta_title1"										"Angel Arena"
"aa_beta_fun"											"Fun"
"aa_beta_title2"										"Reborn"
"aa_beta_subtitle"										"Бета-версия"
"aa_beta_text1"											"Этот проект находится в активной разработке и может содержать баги, ошибки или неполные функции."
"aa_beta_text2"											"Если вы столкнулись с какими-либо проблемами, пожалуйста, сообщите о них, чтобы мы могли улучшить проект."
"aa_beta_thanks"										"Спасибо за вашу поддержку и понимание!"
"aa_beta_continue"										"Продолжить"

"aa_on_win_message" 									"ПОБЕДА. ВО СЛАВУ БОГОВ"
"increaseon_game_name"									"Angel Arena Fun Reborn"
"addon_game_name"										"Angel Arena Fun Reborn"
"addon_name_t"											"Angel Arena"
"DOTA_GAMEMODE_15"										"Angel Arena"
"DOTA_GoodGuys"											"Angels"
"DOTA_BadGuys"											"Demons"
	

"ANGEL_ARENA_ON_KILL"									"%s1 получает <font color='#FFFF00'>%s2</font> дополнительного золота за убийство!"
"ANGEL_ARENA_ON_ASSIST"									"%s1 получает <font color='#FFFF00'>%s2</font> дополнительного золота за помощь в убийстве!"

"game_ends_on_time"										"Конец игры: {s:time}"

"duel_nobody_wins" 										"Конец дуэли: {s:time}"
"duel_next_duel" 										"Дуэль через: {s:time}"
"duel_start"											"Дуэль началась"
"duel_end"												"Дуэль окончена."
"duel_error"											"<font color='#FF1111'>[ДУЭЛЬ]</font> Недостаточно игроков."
"duel_nobody" 											"Никто не победил на дуэли"
"duel_end_win_radiant"									"Ангелы сокрушили демонов"
"duel_end_win_demons"									"Демоны сокрушили ангелов"

"game_ends_on_30_sec"									"Игра завершится через 30 секунд!"

"aa_last_duel_coming"									"Следующая дуэль определит исход игры!"

"DOTA_Tooltip_modifier_tester"							"Alpha Tester"
"DOTA_Tooltip_modifier_tester_Description"				"Спасибо за альфа тестирование."

"DOTA_Tooltip_modifier_dcp_tester"						"DCP TESTER"
"DOTA_Tooltip_modifier_dcp_tester_Description"			"Дцп и в африке дцп. Альфачь тестерь."

"dota_hud_error_cast_only_hero_and_creeps"				"Предмет может применяться только на героев и крипов."

"DOTA_Tooltip_modifier_banned_custom"					"Banned"
"DOTA_Tooltip_modifier_banned_custom_Description"		"That user is banned and can't play anymore."

"angel_arena_kill_limit_click"							"Нам осталось %s убийств для победы, а врагам %s убийств для победы!"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\main_gamemode.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\abyss_warrior.txt' begin 
"npc_aa_abyss_warrior"													"Abyss Warrior"
"on_boss_die_abyss_warrior"												"<font color='#58ACFA'>Abyss Warrior</font> был убит."


"DOTA_Tooltip_ability_abyss_warrior_death_link"							"Death Link"
"DOTA_Tooltip_ability_abyss_warrior_death_link_Description"				"Связывает цель и ближайшую к ней цель. Связанные цели разделяют входящий урон."
"DOTA_Tooltip_ability_abyss_warrior_death_link_link_radius"				"РАДИУС СВЯЗЫВАНИЯ:"
"DOTA_Tooltip_ability_abyss_warrior_death_link_link_duration"			"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_abyss_warrior_death_link_damage_pct"				"%РАЗДЕЛЕНИЕ УРОНА:"

"DOTA_Tooltip_modifier_abyss_warrior_death_link"						"Death link"
"DOTA_Tooltip_modifier_abyss_warrior_death_link_Description"			"Разделяет урон."

"DOTA_Tooltip_ability_abyss_warrior_domination"							"Domnation"
"DOTA_Tooltip_ability_abyss_warrior_domination_Description"				"Притягивает к себе цель, и если ее здоровье меньше порога - убивает ее. В случае если цель останется в живых, на нее наложится безмолвие и обезоруживание."
"DOTA_Tooltip_ability_abyss_warrior_domination_pull_speed"				"СКОРОСТЬ ПРИТЯЖЕНИЯ:"
"DOTA_Tooltip_ability_abyss_warrior_domination_kill_limit_pct"			"%ЛИМИТ ЗДОРОВЬЯ ДЛЯ УБИЙСТВА:"
"DOTA_Tooltip_ability_abyss_warrior_domination_disable_duration" 		"ДЛИТЕЛЬНОСТЬ НЕГАТИВНОГО ЭФФЕКТА:"

"DOTA_Tooltip_modifier_abyss_warrior_domination"						"Domnation pull"
"DOTA_Tooltip_modifier_abyss_warrior_domination_debuff"					"Domnation debuff"

"DOTA_Tooltip_ability_abyss_warrior_charged_attack"						"Charged Attack"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_Description"			"Каждые несколько секунд Abyss Warrior заряжает свою атаку, которая наносит дополнительный урон врагу, а так же оглушает врагов в небольшом радиусе около цели. За каждого оглушенного противника Abyss Warrior получает один эффект блокировки направленных заклинаний."
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_damage"				"ДОП. УРОН:"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_stun_duration"		"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_radius"				"РАДИУС ОГЛУШЕНИЯ"
"DOTA_Tooltip_ability_abyss_warrior_charged_attack_spellblock_duration" "ДЛИТЕЛЬНОСТЬ БЛОКИРОВКИ ЗАКЛИНАНИЙ:"
"DOTA_Tooltip_modifier_abyss_warrior_charged_attack_stun"				"Charged Attack Stun"
"DOTA_Tooltip_modifier_abyss_warrior_charged_attack_linken"				"Charged Attack Spellblock"

"DOTA_Tooltip_ability_abyss_warrior_fallen_hero"						"Fallen Hero"
"DOTA_Tooltip_ability_abyss_warrior_fallen_hero_Description"			"Снимает с Abyss Warrior все негативные эффекты каждые несколько секунд."

"DOTA_Tooltip_ability_abyss_warrior_immortal"							"Immortal"
"DOTA_Tooltip_ability_abyss_warrior_immortal_Description"				"За каждые потерянные %hp_loss_pct%%  здоровья Abyss Warrior получает дополнительную скорость атаки и регенерацию здоровья."
"DOTA_Tooltip_ability_abyss_warrior_immortal_attack_speed"				"ДОП. СКОРОСТЬ АТАКИ:"
"DOTA_Tooltip_ability_abyss_warrior_immortal_hp_reg"					"%ДОП. РЕГЕН ХП:"

"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge"					"Ethernal Charge"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_Description"		"При активации Abyss Warrior начинает поглощать весь входящий урон, а так же регенерирует. По окончанию действия эффекта он излечивает себя на количество полученного урона, а так же ненадолго оглушает всех вокруг."
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_hp_regen_pct"		"%РЕГЕНЕРАЦИЯ ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_active_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_stun_aoe"			"РАДИУС ОГЛУШЕНИЯ:"
